label,image,question
brother1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/brother1.png,
brother2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/brother2.png,
dad1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/dad1.png,
dad2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/dad2.png,
eat1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/eat1.png,
eat2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/eat2.png,
friend1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/friend1.png,
friend2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/friend2.png,
grandma1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/grandma1.png,
grandma2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/grandma2.png,
grandpa1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/grandpa1.png,
grandpa2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/grandpa2.png,
learn1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/learn1.png,
learn2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/learn2.png,
listen1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/listen1.png,
listen2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/listen2.png,
look1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/look1.png,
look2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/look2.png,
make1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/make1.png,
make2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/make2.png,
move1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/move1.png,
move2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/move2.png,
mum1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/mum1.png,
mum2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/mum2.png,
play1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/play1.png,
play2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/play2.png,
sister1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/sister1.png,
sister2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/sister2.png,
talk1,https://matteomenapace.github.io/fadingmemories/cards/en/memory/talk1.png,
talk2,https://matteomenapace.github.io/fadingmemories/cards/en/memory/talk2.png,
